WKT;fid;PG;GKZ;PLZ;Adresse Ge;Lat;Lon;PG_1;GKZ_1;Gemeinde;layer;path;fid_2;id;name;osm_id;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((545537.995916058 5412961.03103057,546602.906172449 5388484.64014378));73;Dürnkrut;30811;2095;Hauptplatz 1;48.867.937.300.000.000;15.620.954.200.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;353;70;UW Horn;;9072;y;n;n;24499,55
MULTILINESTRING ((157567.851791298 5278814.66048305,179809.125080974 5268785.67404358));97;Jungholz;70818;6691;Jungholz 55;47.572.262.899.999.900;10.446.560.200.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;24397,84
MULTILINESTRING ((157408.849713822 5202809.13473302,170940.869921717 5222097.00755729));146;Nauders;70615;6542;Nauders 221;46.890.387.089.999.900;10.502.624.830.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;59;531;UW Prutz;;4149;y;y;n;23561,36
MULTILINESTRING ((414841.573284025 5398757.35822193,425763.055400954 5378616.04512868));358;St. Thomas;40826;4164;Schwarzenberg am Bw. 185;48.736.013.649.999.900;13.841.817.600.000.000;St. Peter am Hart;40438;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;426;703;UW Rohrbach (Oberoe);;9146;y;n;n;22911,81
MULTILINESTRING ((552785.552159989 5295775.6473839,535656.418573363 5308675.9509966));449;Sooß;30635;2661;Markt 60;47.813.168.200.000.000;15.705.083.500.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;340;111;UW Tuernitz;;9059;y;n;n;21443,53
MULTILINESTRING ((488184.702657824 5361608.7606794,499339.844453889 5379892.91163514));153;Kollerschlag;41317;4280;Markt 2;48.407.524.100.000.000;14.840.347.000.000.000;Klam;41107;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;374;149;UW Gross-Gerungs;;9093;y;n;n;21418,39
MULTILINESTRING ((158679.130834145 5272232.2044004,179809.125080974 5268785.67404358));203;Schattwald;70829;6677;Nr. 41;47.513.805.359.999.900;10.466.393.500.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;21409,23
MULTILINESTRING ((163233.969322763 5255983.21197789,179809.125080974 5268785.67404358));260;Vorderhornbach;70834;6645;Nr. 60;47.370.413.829.999.900;10.539.067.010.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;20943,71
MULTILINESTRING ((484117.952956417 5365774.99853273,499339.844453889 5379892.91163514));396;Unterweißenbach;40621;4273;Markt 21;48.444.916.100.000.000;14.785.237.950.000.000;Tumeltsham;41232;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;374;149;UW Gross-Gerungs;;9093;y;n;n;20761,06
MULTILINESTRING ((552537.526733645 5408893.98072343,561261.878108983 5390366.41285011));262;Langau;31113;2091;Hauptplatz 103;48.830.800.099.999.900;15.715.870.499.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;362;69;UW Eggenburg;;9081;y;n;n;20478,89
