WKT;fid;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;fid_2;id;name_2;osm_id_2;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((384703.593487161 5365826.25605971,385367.202855544 5367261.72095632));1;r1999097;1999097;relation;industrial;Wasserkraftwerk Schärding-Neuhaus;run-of-the-river;96 MW;hydro;plant;multipolygon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;423;781;UW Aigerding;;9143;y;n;n;1581,435064
MULTILINESTRING ((489725.72278965 5328803.3748147,490087.473340528 5328755.86055996));2;r4712484;4712484;relation;industrial;Elektrizitätswerk Amstetten;;3490 kW;;plant;multipolygon;Amstetten;AT;20;3300;Stadtwerkestraße;Allersdorf;Stadtwerke Amstetten;Q1326605;de:Elektrizitätswerk Amstetten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;334;94;UW Amstetten;;9052;y;n;n;364,8575961
MULTILINESTRING ((590455.026913069 5273534.1154863,584654.823018035 5273644.38271098));3;r6615602;6615602;relation;;Energieforschungspark Lichtenegg;;;;plant;multipolygon;;;;;;;;;;Energieerlebnispark Lichtenegg;Windkraftanlage Lichtenegg/Pesendorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373;169;UW Edlitz;;9092;y;n;n;5801,251941
MULTILINESTRING ((606165.34910011 5348292.26320468,605408.879151843 5347518.81293108));4;r7949085;7949085;relation;;BürgerInnen-Solarkraftwerk Leopoldau;;432 kW;;plant;multipolygon;;;;;;;Wien Energie;;;;;photovoltaic;solar;13.12.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;338;UW Leopoldau;;9270;y;n;n;1081,883593
MULTILINESTRING ((176030.177642355 5237621.34950634,175919.875800365 5237588.69501562));5;r8073569;8073569;relation;industrial;Kraftwerk Imst;run-of-the-river;89 MW;hydro;plant;multipolygon;;;;;;;TIWAG;Q63615207;de:Kraftwerk Imst;;;;;1956;143.5;https://www.tiwag.at/ueber-die-tiwag/kraftwerke/bestehende-kraftwerke/kraftwerkspark/#c654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;498;535;KW Imst;;9220;y;n;n;115,0339607
MULTILINESTRING ((495194.106291834 5165539.67372867,495084.461021536 5165522.572981));6;r8387518;8387518;relation;industrial;Lavamünd;;28 MW;hydro;plant;multipolygon;;;;;;;Verbund Hydro Power GmbH;Q19933916;sl:Hidroelektrarna Labot;;;;;1949;;;industrial;Kraftwerk Lavamünd;Hidroelektrarna Labot;;;;;;;;;;;;;;;;;;;;;;;;;;78;481;KW Lavamuend;;4168;y;n;n;110,9708109
MULTILINESTRING ((505145.990888698 5337405.73956293,503544.274909687 5332593.29851189));7;r10245279;10245279;relation;industrial;Kraftwerk Ybbs-Persenbeug;run-of-the-river;236.5 MW;hydro;plant;multipolygon;;;;;;;;Q1786238;de:Kraftwerk Ybbs-Persenbeug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;84;UW Ybbsfeld;;4210;y;y;n;5071,990038
MULTILINESTRING ((338682.359352341 5172297.48815356,344722.046510854 5178504.28558407));8;r10631284;10631284;relation;industrial;;;;solar;plant;multipolygon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307;429;UW Oberdrauburg;;9025;y;n;n;8660,378474
MULTILINESTRING ((613881.627808121 5344072.1800112,609111.643226073 5341292.47351934));9;r12741957;12741957;relation;;Schafflerhofstraße Agrar-PV;photovoltaic;11 MW;solar;plant;multipolygon;Wien;;271;1220;Schafflerhofstraße;;Wien Energie;;;Photovoltaikanlage PV-SAF-1/T1-T5;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;541;773;UW Wulzendorf;;9266;y;n;n;5520,826124
MULTILINESTRING ((449886.874892987 5349864.93817685,449794.548475349 5349933.88444037));10;w15734776;15734776;way;industrial;Fernheizkraftwerk Linz-Mitte;;;;plant;;;;;;;;LINZ AG;;;FHKW Linz-Mitte;;;"biofuel;gas;oil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;688;UW Linz-Mitte;;4209;y;n;n;115,2291397
