WKT;ID;PLZ;Adresse Gemeindeamt;Lat;Lon;KZ;full_id/osm_id;location/name;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((652282.13853816 5293288.0951949,642203.948161711 5300791.25902115));Andau;7163;Hauptgasse 8;47,7749506;17,0326549;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;12564,52899
MULTILINESTRING ((610667.585129784 5292115.70024146,603721.273878308 5286385.66620205));Antau;7042;Hauptplatz 3;47,7728978;16,47711364;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;9004,694892
MULTILINESTRING ((637266.451074866 5289345.19384251,642203.948161711 5300791.25902115));Apetlon;7161;Kirchengasse 3;47,7428661;16,8310928;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;12465,6041
MULTILINESTRING ((599280.529579642 5292183.1437411,595359.398350353 5295016.53963057));Bad_Sauerbrunn;7202;Wiener Neustädter Straße 2;47,7753596;16,325187;7;97586384;Umspannwerk Neudörfl;;substation;110000;Neudörfl;4837,706314
MULTILINESTRING ((592859.766335052 5242840.88761791,584828.162904137 5245941.5951021));Bad_Tatzmannsdorf;7431;Joseph-Haydn-Platz 1;47,332444;16,2290799;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;8609,357733
MULTILINESTRING ((603984.783679405 5227649.36240142,596569.107124905 5233824.33412693));Badersdorf;7512;Obere Dorfstraße 5;47,19411135;16,37275001;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;9650,001791
MULTILINESTRING ((611947.964885724 5288793.29689272,603721.273878308 5286385.66620205));Baumgarten;7021;Gemeinde Baumgarten;47,74279325;16,49334175;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;8571,763557
MULTILINESTRING ((611073.753995839 5220420.63363761,600047.85583329 5214209.18546532));Bildein;7521;Florianigasse 1;47,1279255;16,4645159;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;12655,13804
MULTILINESTRING ((589217.962437168 5221794.3447943,589630.607499163 5225119.40617522));Bocksdorf;7551;Herrengasse 11;47,1436059;16,17668821;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;3350,568479
MULTILINESTRING ((629295.195753636 5311552.43917391,637211.268779065 5313542.07246865));Breitenbrunn_am_Neusiedler_See;7091;Eisenstädter Straße 18;47,9442303;16,7314455;7;82201785;Umspannwerk Neusiedl;"BEWAG;Verbund Austrian Power Grid AG";substation;"220000;110000";Neusiedl am See;8162,282327
MULTILINESTRING ((585091.879541248 5221788.97474529,589630.607499163 5225119.40617522));Burgauberg-Neudauberg;7574;Höhenstraße 4;47,1441036;16,1222796;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;5629,54927
MULTILINESTRING ((584105.04886045 5215292.94383686,590574.289856597 5206994.33893227));Deutsch_Kaltenbrunn;7572;Marktplatz 1;47,08578625;16,1080528;7;97218204;Umspannwerk Eltendorf;BEWAG;substation;"110000;20000";Eltendorf;10522,25843
MULTILINESTRING ((609576.771259314 5224625.25152906,600047.85583329 5214209.18546532));Deutsch_Sch�tzen-Eisenberg;7474;Untere Hauptstraße 24;47,16599945;16,44581;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;14117,17611
MULTILINESTRING ((623160.530521305 5272431.87195352,620108.327487484 5272673.44727074));Deutschkreutz;7301;Marktgemeinde Deutschkreutz;47,593595;16,63823995;7;97264200;Umspannwerk Deutschkreutz;BEWAG;substation;110000;Deutschkreuz;3061,748192
MULTILINESTRING ((622921.786948742 5306071.55817282,615700.219041165 5300082.28239527));Donnerskirchen;7082;Hauptstraße 29;47,89619225;16,6445705;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;9382,028959
MULTILINESTRING ((611839.270557841 5289180.27578738,603721.273878308 5286385.66620205));Dra�burg;7021;Eisenstädterstraße 7;47,7462928;16,4919918;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;8585,552564
MULTILINESTRING ((604929.310710671 5262572.88908944,606827.643784336 5268024.49102928));Dra�markt;7371;Hauptstraße 39;47,508118;16,3934617;7;94372577;Umspannwerk Markt Sankt Martin;BEWAG;substation;110000;Markt St. Martin;5772,662485
MULTILINESTRING ((610749.942907814 5218167.78441438,600047.85583329 5214209.18546532));Eberau;7522;Hauptplatz 1;47,10771415;16,4596934;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;11410,74815
MULTILINESTRING ((614044.791631578 5300406.29373296,615700.219041165 5300082.28239527));Eisenstadt;7000;Hauptstraße 35;47,84687705;16,52435503;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;1686,838242
MULTILINESTRING ((591321.193756549 5206716.89361333,590574.289856597 5206994.33893227));Eltendorf;7562;Kirchenstraße 2;47,00767095;16,20136842;7;97218204;Umspannwerk Eltendorf;BEWAG;substation;"110000;20000";Eltendorf;796,7693146
MULTILINESTRING ((600623.560172604 5285223.09426588,603721.273878308 5286385.66620205));Forchtenstein;7212;Gemeinde Forchtenstein;47,71254479;16,34149881;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;3308,6861
MULTILINESTRING ((621224.582098978 5256321.45297087,612190.604144076 5261184.46062515));Frankenau-Unterpullendorf;7452;Frankenau 108;47,44905655;16,608064;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;10259,70765
MULTILINESTRING ((644093.601315105 5299949.31438354,642203.948161711 5300791.25902115));Frauenkirchen;7132;Amtshausgasse 5;47,8367342;16,9256337;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;2068,733867
MULTILINESTRING ((595509.815163214 5213475.29593385,600047.85583329 5214209.18546532));Gerersdorf-Sulz;7542;Gerersdorf 47;47,06788187;16,2578865;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;4596,999779
MULTILINESTRING ((642756.273674063 5306616.37900391,642203.948161711 5300791.25902115));Gols;7122;Untere Hauptstraße 10;47,8969854;16,9099744;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;5851,246558
MULTILINESTRING ((580373.903633828 5246034.26914362,584828.162904137 5245941.5951021));Grafenschachen;7423;Grafenschachen 153;47,3628267;16,0644277;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;4455,223241
MULTILINESTRING ((610872.491184879 5298847.48076578,615700.219041165 5300082.28239527));Gro�h�flein;7051;Hauptstraße 37;47,8334115;16,4815687;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;4983,140708
MULTILINESTRING ((603396.610915985 5207951.65724435,600047.85583329 5214209.18546532));Gro�m�rbisch;7540;Großmürbisch 120;47,0170026;16,3604645;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;7097,240312
MULTILINESTRING ((599877.668093912 5232492.56289907,596569.107124905 5233824.33412693));Gro�petersdorf;7503;Hauptstraße 36;47,2383177;16,31962585;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;3566,537577
MULTILINESTRING ((616811.209546092 5266431.84673873,612190.604144076 5261184.46062515));Gro�warasdorf;7304;Obere Hauptstraße 18;47,54080235;16,55222064;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;6991,784844
MULTILINESTRING ((600382.926623853 5212608.34884734,600047.85583329 5214209.18546532));G�ssing;7540;Hauptplatz 7;47,0593598;16,3218566;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;1635,527533
MULTILINESTRING ((597633.627490967 5223670.15366999,589630.607499163 5225119.40617522));G�ttenbach;7536;Marktplatz 1;47,1592874;16,2880619;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;8133,18276
MULTILINESTRING ((647514.155678135 5303922.61418986,642203.948161711 5300791.25902115));Halbturn;7131;Wiener Straße 3;47,8716868;16,9726727;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;6164,713218
MULTILINESTRING ((605558.932117752 5230784.60105332,596569.107124905 5233824.33412693));Hannersdorf;7474;Hannersdorf 166;47,22206439;16,39426382;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;9489,83301
MULTILINESTRING ((607824.954555507 5209029.30132211,600047.85583329 5214209.18546532));Heiligenbrunn;7522;Heiligenbrunn 33;47,0259901;16,4189704;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;9344,220902
MULTILINESTRING ((595770.385279826 5204622.72189798,590574.289856597 5206994.33893227));Heiligenkreuz_im_Lafnitztal;7561;Untere Hauptstraße 1;46,9882016;16,2594424;7;97218204;Umspannwerk Eltendorf;BEWAG;substation;"110000;20000";Eltendorf;5711,740103
MULTILINESTRING ((590265.296647616 5218891.60901502,589630.607499163 5225119.40617522));Heugraben;7551;Heugraben 120;47,1173484;16,1899157;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;6260,054935
MULTILINESTRING ((608894.231646295 5293733.72166915,603721.273878308 5286385.66620205));Hirm;7024;Gemeinde Hirm;47,78775344;16,45385788;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;8986,290181
MULTILINESTRING ((616318.375615972 5271737.6871116,620108.327487484 5272673.44727074));Horitschon;7312;Hauptstraße 43;47,58861465;16,54707906;7;97264200;Umspannwerk Deutschkreutz;BEWAG;substation;110000;Deutschkreuz;3903,765139
MULTILINESTRING ((634906.879104601 5291451.11413053,642203.948161711 5300791.25902115));Illmitz;7142;Obere Hauptstraße 2–4;47,7623027;16,8002863;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;11852,65892
MULTILINESTRING ((600039.375825966 5207356.17035587,600047.85583329 5214209.18546532));Inzenhof;7540;Inzenhof 42;47,0121616;16,3161714;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;6853,020356
