WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((572542.295243834 5361175.2004889,565131.734361793 5364231.29226894));Absdorf;3462;Hauptplatz 1;48,3995601;15,9800728;106810629;substation;Umspannwerk Kirchberg am Wagram (I.b.);110000;;Kirchberg am Wagram;8015,990865
MULTILINESTRING ((603261.648834915 5326146.72694477,605675.711652691 5331046.93862996));Achau;2481;Hauptstr. 23;48,0802254;16,3864531;27795895;Austrian Power Grid AG;Umspannwerk Wien Südost;;;Wien;5462,579413
MULTILINESTRING ((613882.453538684 5349021.65905875,605405.85849431 5347517.31542586));Aderklaa;2232;Aderklaa 12;48,2841465;16,535136;376356832;Wien Energie;Umspannwerk Leopoldau (i.b.);;;Wien;8609,04834
MULTILINESTRING ((529837.95272801 5350215.95708783,519038.711898816 5349895.53807386));Aggsbach;3643;Aggsbach 48;48,30443423;15,40237004;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;10803,99328
MULTILINESTRING ((581075.267125848 5395902.98584691,577267.73736245 5394355.11529772));Alberndorf_im_Pulkautal;2054;Alberndorf im Pulkautal 97;48,71088505;16,10209995;324055876;substation;Umspannwerk Peigarten;;EVN;Pernersdorf;4110,132131
MULTILINESTRING ((527245.253824264 5367736.72089581,517850.003045043 5368984.83979065));Albrechtsberg_an_der_Gro�en_Krems;3613;Albrechtsberg an der Gro�en Krems 41;48,462175;15,368544;90866864;substation;Umspannwerk Sallingberg;110000;;Sallingberg;9477,79183
MULTILINESTRING ((580345.877674682 5323255.30032001,577563.725219439 5317265.27315869));Alland;2565;Hauptstra�e 176;48,0575159;16,0782932;257384535;substation;Umspannwerk Neuhaus;110000;EVN;Weissenbach an der Triesting;6604,604279
MULTILINESTRING ((524235.548543234 5393672.02997249,520264.74928276 5406037.88787496));Allentsteig;3804;Hauptstra�e 23;48,69561555;15,32934491;88285465;substation;Umspannwerk Waidhofen an der Thaya;110000;;Waidhofen an der Thaya;12987,75148
MULTILINESTRING ((484527.774454398 5319287.57888261,485982.075833861 5323294.83429887));Allhartsberg;3365;Markt 47;48,0266903;14,7924779;30222212;substation;Umspannwerk Ulmerfeld-Hausmening;110000;EVN;Amstetten;4262,990555
MULTILINESTRING ((543714.578063422 5388229.98175126,546604.785141888 5388485.62309542));Altenburg;3591;Zwettler Stra�e 16;48,64560005;15,59346517;88180087;substation;Umspannwerk Horn;;;Horn;2901,490902
