WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((356422.600127162 5291317.77592276,352730.330326469 5290391.77224722));Elsbethen;5061;Pfarrweg 6;47,7592309;13,0841174;404737810;Umspannwerk Anif (i.b.);substation;;;Salzburg Umgebung;3806,617802
MULTILINESTRING ((347928.72251624 5294941.08232374,352408.686311932 5299650.27697664));Wals-Siezenheim;5071;Hauptstraße 17;47,78986385;12,9695789;33003245;Umspannwerk Hagenau;substation;110000;Salzburg AG;Salzburg Stadt;6499,737679
MULTILINESTRING ((354864.410584139 5290323.88244025,352730.330326469 5290391.77224722));Anif;5081;Aniferstraße 10;47,7499445;13,063669;404737810;Umspannwerk Anif (i.b.);substation;;;Salzburg Umgebung;2135,159847
MULTILINESTRING ((353423.035996022 5296567.32102648,352408.686311932 5299650.27697664));Salzburg;5082;Mirabellplatz 4;47,8057613;13,0423432;33003245;Umspannwerk Hagenau;substation;110000;Salzburg AG;Salzburg Stadt;3245,538888
MULTILINESTRING ((352874.095686409 5288973.64667131,352730.330326469 5290391.77224722));Grödig;5083;Dr.-Richard-Hartmann-Straße 1;47,7373518;13,0375877;404737810;Umspannwerk Anif (i.b.);substation;;;Salzburg Umgebung;1425,394201
MULTILINESTRING ((343098.484027052 5287859.58716433,352730.330326469 5290391.77224722));Großgmain;5084;Salzburger Straße 220;47,7250316;12,90768592;404737810;Umspannwerk Anif (i.b.);substation;;;Salzburg Umgebung;9959,137735
MULTILINESTRING ((326910.248848424 5273260.54524748,339965.021601871 5254225.60247259));Lofer;5090;Lofer 25;47,5896424;12,69776445;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;23081,51074
MULTILINESTRING ((329439.664651724 5279939.96877925,352730.330326469 5290391.77224722));Unken;5091;Niederland 147;47,6503653;12,7287796;404737810;Umspannwerk Anif (i.b.);substation;;;Salzburg Umgebung;25528,32355
MULTILINESTRING ((327420.066818296 5270583.75090508,339965.021601871 5254225.60247259));Sankt_Martin_bei_Lofer;5092;St. Martin Nr. 9;47,5657122;12,705592;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;20614,67707
MULTILINESTRING ((330815.071016894 5265476.66574578,339965.021601871 5254225.60247259));Weißbach_bei_Lofer;5093;Unterweißbach 36;47,5206883;12,7526559;112481895;Umspannwerk Saalfelden am Seinernen Meer (i.b.);substation;110000;;Saalfelden am Steinernen Meer;14502,00057
MULTILINESTRING ((352089.728973588 5300620.74217088,352408.686311932 5299650.27697664));Bergheim;5101;Dorfstraße 39a;47,8419051;13,02316275;33003245;Umspannwerk Hagenau;substation;110000;Salzburg AG;Salzburg Stadt;1021,536332
MULTILINESTRING ((351467.737971812 5304849.89874343,352408.686311932 5299650.27697664));Anthering;5102;Gartenweg 2;47,87979025;13,01340201;33003245;Umspannwerk Hagenau;substation;110000;Salzburg AG;Salzburg Stadt;5284,07516
MULTILINESTRING ((346279.777453536 5311707.49169279,347309.342952107 5313145.27325617));Oberndorf_bei_Salzburg;5110;Untersbergstraße 25;47,9402293;12,9416146;98007002;Umspannwerk Göming;substation;;;Göming;1768,395018
MULTILINESTRING ((344748.177090009 5316570.0749021,347309.342952107 5313145.27325617));Bürmoos;5111;Ignaz Glaser-Straße 59;47,983581;12,919364;98007002;Umspannwerk Göming;substation;;;Göming;4276,544971
MULTILINESTRING ((347543.220157504 5317499.17403263,347309.342952107 5313145.27325617));Lamprechtshausen;5112;Hauptstraße 4;47,9926072;12,9564675;98007002;Umspannwerk Göming;substation;;;Göming;4360,177808
