WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((459450.267136906 5269315.55715108,460092.450579844 5271181.61662204));Admont;8913;Hauptstra�e 36;47,5759872;14,46080779;96959342;substation;Umspannwerk Hall;;110000;Admont;1973,468399
MULTILINESTRING ((518059.019973299 5265701.32453054,515686.013069374 5263077.55556678));Aflenz;8624;Aflenz Kurort 9;47,544483;15,2399877;130382579;substation;Umspannwerk Thörl (i.b.);;;Thörl;3537,700573
MULTILINESTRING ((411555.590810537 5252504.90333434,407406.156160591 5251855.61140442));Aich;8966;Aich 8;47,41999599;13,82742227;90431884;substation;Umspannwerk Haus;Energie Steiermark;;Haus;4199,927133
MULTILINESTRING ((438359.120825665 5259298.76902846,432755.336714196 5260093.60891747));Aigen_im_Ennstal;8943;Aigen im Ennstal 6;47,484205;14,181785;91013052;substation;Umspannwerk Irdning;;110000;Irdning-Donnersbachtal;5659,873392
MULTILINESTRING ((552885.954265813 5219108.88250451,553506.392442385 5217921.48462537));Albersdorf-Prebuch;8211;Albersdorf 160;47,1233623;15,69724142;96210904;substation;Umspannwerk Gleisdorf (i.b.);;;Gleisdorf;1339,722827
MULTILINESTRING ((542120.852195716 5195913.34690339,545833.509161552 5195465.24705981));Allerheiligen_bei_Wildon;8412;Allerheiligen bei Wildon 240;46,9154176;15,5531635;160783280;substation;Umspannwerk Feiting;;110000;Allerheiligen bei Wildon;3739,600943
MULTILINESTRING ((407283.633588866 5277133.36270017,409186.738464768 5273992.19881039));Altaussee;8992;Fischerndorf 61;47,6409566;13,7656102;95644443;substation;Umspannwekr Bad Aussee;;110000;Bad Aussee;3672,69911
MULTILINESTRING ((473717.609015712 5285518.77432922,476263.125314455 5284501.89046443));Altenmarkt_bei_Sankt_Gallen;8934;Altenmarkt 2;47,7225117;14,6495429;96826419;substation;Umspannwerk Essling;;;Altenmarkt bei St. Gallen;2741,114011
MULTILINESTRING ((552311.346182868 5235858.77865335,552167.081226853 5243705.72257617));Anger;8184;S�dtiroler Platz 3;47,2741203;15,6916222;99745003;substation;Umspannwerk Birkfeld;;;Birkfeld;7848,269956
MULTILINESTRING ((452426.074908043 5271124.20695598,451023.37654603 5270839.72388142));Ardning;8904;Ardning 250;47,59178309;14,36721604;103387969;substation;Umspannwerk Ardning;;110000;Ardning;1431,255852
