WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((310800.552532652 5181206.23090547,328282.063498463 5185568.76501211));Abfaltersbach;9913;Abfaltersbach 183;46,75758094;12,52250783;163096581;Kraftwerk Amlach (i.b.);;;Leisach;18017,6283
MULTILINESTRING ((235904.895184897 5243904.75059578,235156.117778468 5241651.09149436));Absam;6067;D�rferstra�e 32;47,2953403;11,5067671;121265317;Umspannwerk Hall;110000;TIWAG-Netz AG;Hall in Tirol;2374,794086
MULTILINESTRING ((252119.187993493 5269140.64640052,255248.660516804 5253525.58211617));Achenkirch;6215;Rathaus 387;47,5283749;11,7067442;30880774;Achenseekraftwerk (i.b.);;;Jenbach;15925,5716
MULTILINESTRING ((323682.484291226 5193321.79052103,317362.636820122 5199395.64236732));Ainet;9951;Ainet 90;46,87004714;12,68637652;85703086;KW Kalserbach;110000;TIWAG;Kals am Großglockner;8765,394932
MULTILINESTRING ((231105.434137803 5239198.42302673,229885.650399564 5241520.3342854));Aldrans;6071;Dorf 34;47,2511216;11,4462426;30840698;Umspannwerk Innsbruck-Ost;110000;;Innsbruck;2622,812281
MULTILINESTRING ((269641.668725507 5253171.37329802,262886.15072973 5249563.93402539));Alpbach;6236;Alpbach 168;47,39133321;11,94751172;89425769;Umspannwerk Fügen;110000;TIWAG;Fügen;7658,370682
MULTILINESTRING ((329209.750448002 5186921.30888366,328282.063498463 5185568.76501211));Amlach;9908;Lindenstra�e 4;46,8139357;12,7612405;163096581;Kraftwerk Amlach (i.b.);;;Leisach;1640,11524
MULTILINESTRING ((233753.684761417 5241081.72678459,233115.408958851 5241525.43395103));Ampass;6070;R�merstra�e 21 A;47,2691156;11,4800519;24768685;Umspannwerk Thaur;"220000;110000";TIWAG-Netz AG;Thaur;777,3493743
MULTILINESTRING ((279106.41084152 5265675.71461566,280722.575313024 5266536.61016587));Angath;6321;Dorfplatz 1;47,5069701;12,0665103;105080874;Kraftwerk Kirchbichl (i.b.);110000;;Kirchbichl;1831,155031
MULTILINESTRING ((277053.40094891 5265625.56027623,279889.491702928 5267354.07606647));Angerberg;6320;Linden 5;47,5058191;12,0393088;23899163;Umspannwerk Kirchbichl;"220000;110000";;Kirchbichl;3321,321665
MULTILINESTRING ((313941.955270786 5182525.88950171,328282.063498463 5185568.76501211));Anras;9912;Dorf 33;46,7703288;12,56306965;163096581;Kraftwerk Amlach (i.b.);;;Leisach;14659,39273
MULTILINESTRING ((179021.126508267 5236977.85020006,175917.97334348 5237591.53121288));Arzl_im_Pitztal;6471;Arzl 76;47,207808;10,7612575;100872499;110kV Freischaltanlage;110000;;Imsterberg;3163,252116
MULTILINESTRING ((265213.876987162 5239060.49266979,265176.262490773 5235805.82192859));Aschau_im_Zillertal;6274;Dorfplatz 1;47,2629705;11,8963697;156973414;Umspannwerk Zell am Ziller;"380000;220000;110000";Austrian Power Grid AG;Rohrberg;3254,888091
