wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (15.99000610000000044 47.25702410000000242, 15.99235979999999913 47.25963220000000575, 15.9946377999999978 47.26212890000000044, 15.99644509999999897 47.26411819999999864, 15.99825230000000076 47.26610030000000506, 16.00028079999999875 47.26832909999999544, 16.00235950000000074 47.27060440000000341, 16.00389039999999952 47.27228720000000806, 16.00762160000000023 47.27224809999999167, 16.01156190000000024 47.27221600000000024, 16.01589549999999917 47.27217999999998455, 16.01982599999999834 47.2721469999999897, 16.02353019999999972 47.27211410000000313, 16.0276740999999987 47.27208209999999866, 16.03140550000000175 47.27204909999998961, 16.03513309999999947 47.27201610000000898, 16.03904599999999903 47.27198620000000062, 16.04263399999999962 47.27195489999999722, 16.04603170000000034 47.27300610000000347, 16.04961259999999967 47.27411390000000324, 16.05323399999999978 47.27523429999999394, 16.05707519999999988 47.27642260000000363, 16.06068399999999841 47.27753899999999732, 16.06414300000000139 47.2786090000000101, 16.06790379999999985 47.27977239999999171, 16.0713790000000003 47.27948630000000207, 16.07566470000000081 47.27913349999999326, 16.07979900000000129 47.27879310000000146, 16.08375549999999876 47.2784673999999967, 16.08780120000000124 47.27813619999999872, 16.09181750000000122 47.27717470000001043, 16.09552460000000096 47.27630409999999728, 16.09856720000000152 47.27558029999998723, 16.10157299999999836 47.27486050000000262, 16.10481419999999986 47.27409389999998979, 16.10858419999999924 47.27367120000000256, 16.11250719999999959 47.27325399999999433, 16.11670900000000017 47.27275699999999148, 16.12063290000000038 47.27232300000000009, 16.12443130000000124 47.27169639999999617, 16.12871290000000002 47.27099009999999168, 16.13225920000000002 47.27038809999999103, 16.13621729999999843 47.26975399999999894, 16.13999839999999963 47.26912459999999783, 16.14384629999999987 47.26848399999999373, 16.14752430000000061 47.2678716999999935, 16.15126749999999944 47.26724859999999495, 16.1551341000000015 47.26660699999999338, 16.15884009999999904 47.26792809999999179, 16.16261989999999926 47.26928010000001024, 16.16664970000000068 47.27073430000000087);99761296;2.0;;380000;3;476;Austrian Power Grid AG;14788,16
LineString (16.2792829999999995 47.25124799999999681, 16.28168889999999891 47.25317579999999396, 16.28456179999999875 47.25539570000000822, 16.28726149999999961 47.25750870000000248, 16.28965699999999828 47.2594019000000003, 16.29239219999999833 47.26155930000000183, 16.29464259999999953 47.26324489999999656, 16.29740969999999933 47.26549570000000244, 16.2961437999999994 47.26847669999999368, 16.29479650000000035 47.27176469999999142, 16.29276959999999974 47.27409310000000175, 16.29103269999999881 47.27624649999998496, 16.28911839999999955 47.27844809999999853, 16.28730519999999871 47.28061270000000604, 16.28532320000000055 47.28298759999999135, 16.28317529999999991 47.28554179999999718, 16.28115400000000079 47.2878340000000037, 16.27868210000000104 47.29066159999999286, 16.27632069999999942 47.29331979999999191, 16.273974299999999 47.29600980000000021, 16.27191249999999911 47.29831759999999719, 16.26950970000000041 47.30107110000000148, 16.2674051999999989 47.30346180000000089, 16.26681489999999997 47.30616580000001647, 16.26625200000000149 47.30866960000000176, 16.26567509999999928 47.31123139999998983, 16.26509420000000006 47.3138261, 16.26424719999999979 47.31696379999998925, 16.26347709999999935 47.31988249999999852, 16.26265490000000113 47.32296519999999163, 16.26188769999999906 47.32577469999999664, 16.26252330000000157 47.32822739999998873, 16.26328399999999874 47.33114080000001422, 16.26401140000000112 47.33393610000000251, 16.26470309999999841 47.33659440000000274, 16.26556409999999886 47.33989569999999958, 16.2663480000000007 47.34288839999999965, 16.26704790000000145 47.34552349999999876, 16.27060919999999911 47.34729540000000014, 16.27399369999999834 47.34894560000000041, 16.27669050000000084 47.35025540000000888, 16.28051729999999964 47.35211190000000414, 16.28302139999999909 47.35333459999999661, 16.28571000000000168 47.35463719999999199, 16.28853150000000127 47.35600490000000207, 16.28972530000000063 47.35798509999999339, 16.29160669999999911 47.36111929999999859, 16.29303060000000158 47.36348619999999698, 16.29431470000000104 47.36562080000000208, 16.2959385999999995 47.36834369999999694, 16.29959350000000029 47.37021289999999851, 16.30406719999999865 47.3725280999999967, 16.30738059999999834 47.37421140000000008, 16.31118280000000098 47.37618679999999927, 16.31386889999999923 47.37766190000000677, 16.313675700000001 47.37986729999999369, 16.31347769999999997 47.38215100000000035, 16.31321510000000075 47.38520579999999427, 16.31300450000000168 47.38752459999998479, 16.31278119999999987 47.39013150000000962, 16.31264679999999956 47.39276590000000056, 16.31251749999999845 47.39532559999999961, 16.31238480000000024 47.39786490000000185, 16.3122606999999995 47.40032529999999156, 16.31212530000000172 47.40291810000000083, 16.31202970000000008 47.40481799999999879, 16.31179039999999958 47.4093258999999847, 16.3096552999999993 47.41205589999999859, 16.30757679999999965 47.4147601000000023, 16.30540849999999864 47.41758099999999843, 16.30337589999999892 47.4201817999999875, 16.30166799999999938 47.42241309999999999, 16.30151719999999926 47.42456709999999731, 16.30134599999999878 47.42701590000000778, 16.30114379999999841 47.42984750000000105, 16.30098309999999984 47.43224600000000635, 16.30291300000000021 47.43351899999998977, 16.30648449999999983 47.43582210000001709, 16.30826499999999868 47.43695290000000853, 16.31088709999999864 47.43867050000000063, 16.31450279999999964 47.43949000000000638, 16.31789630000000102 47.44025939999999508, 16.31937320000000113 47.44257720000000234, 16.32101739999999879 47.44517290000000287, 16.32273800000000108 47.44786869999999368, 16.32541700000000162 47.45078649999999243, 16.32759180000000043 47.45317910000000694, 16.33090320000000162 47.45679750000000041, 16.33258250000000089 47.45863229999999788, 16.33540749999999875 47.46143320000000188, 16.33863669999999857 47.4646821999999986, 16.34102199999999883 47.46706419999998872, 16.34231460000000524 47.46848999999999563, 16.34453339999999955 47.47094289999999006, 16.34624319999999997 47.47283310000001677, 16.34792029999999841 47.47473040000000566, 16.35139609999999877 47.47543819999999926, 16.3552041999999993 47.47624110000000996, 16.35888160000000013 47.4770354999999924, 16.36305730000000125 47.47837789999999814, 16.36727589999999921 47.47971669999999023, 16.36739400000000089 47.48249269999999456, 16.36753739999999979 47.48562390000000022, 16.36765779999999992 47.48826020000000625, 16.36776649999999833 47.49093179999998426, 16.36790189999999967 47.49393440000000055, 16.36801230000000018 47.49655190000000005, 16.37019189999999824 47.49868309999999383, 16.37259050000000116 47.50102870000000621, 16.3751314999999984 47.50348519999999297, 16.37740409999999969 47.5057159999999925, 16.38005659999999963 47.50832599999999672, 16.38293450000000107 47.51112610000000558, 16.38530390000000025 47.51341479999999962, 16.38768519999999995 47.51575359999999648, 16.38988570000000067 47.5178976999999847, 16.39238410000000101 47.52031249999998863, 16.39487109999999959 47.52274880000000223, 16.39732619999999841 47.525176799999997, 16.39937169999999966 47.52711140000000256, 16.40146239999999977 47.52897409999998501, 16.40448990000000151 47.53212739999999314, 16.40716929999999962 47.53479610000000122, 16.40912170000000359 47.53665229999999298, 16.40941450000000046 47.53967039999999855, 16.40970169999999939 47.54238089999999772, 16.41000239999999977 47.54555100000000323, 16.41030220000000028 47.54844479999999862);99725619;3.0;Erika;380000;3;477;Austrian Power Grid AG;12939,15
LineString (16.27640620000000027 47.25188130000000086, 16.2792829999999995 47.25124799999999681);99725617;1.0;;380000;3;477;Austrian Power Grid AG;228,8
LineString (16.27778100000000094 47.25146829999999909, 16.27640620000000027 47.25188130000000086);99725616;1.0;;380000;0;476;Austrian Power Grid AG;113,72
LineString (16.27310770000000062 47.25250199999999268, 16.27640620000000027 47.25188130000000086);99725615;2.0;;380000;3;476;Austrian Power Grid AG;258,97
LineString (16.16664970000000068 47.27073430000000087, 16.17098160000000107 47.27085180000000975, 16.1744197000000014 47.27094499999999044, 16.17899729999999892 47.27106919999999235, 16.18310650000000095 47.27118059999999389, 16.18715969999999871 47.27129049999999921, 16.19154479999999907 47.27140939999999603, 16.19563919999999868 47.2715204, 16.19952849999999955 47.27162589999999653, 16.20329680000000039 47.27172809999999714, 16.207339300000001 47.27183770000000607, 16.21187099999999859 47.27196059999999989, 16.21546880000000002 47.27205819999999648, 16.21943449999999842 47.27216570000000928, 16.22387150000000133 47.27228600000000824, 16.22765139999999917 47.27238849999999815, 16.23037100000000166 47.27086909999999165, 16.23307820000000135 47.26935650000000066, 16.23581479999999999 47.2678274000000016, 16.23856650000000101 47.26628990000000385, 16.24125430000000136 47.26478800000001002, 16.24394140000000064 47.26328649999999953, 16.2465699999999984 47.26181760000000054, 16.24966829999999973 47.26008620000000349, 16.25279959999999946 47.2583362999999963, 16.25550409999999957 47.25682479999999686, 16.25822929999999999 47.25530179999999802, 16.26235570000000052 47.2545252999999974, 16.26594490000000093 47.25384990000000585, 16.26948549999999827 47.25318360000000695, 16.27310770000000062 47.25250199999999268);99720896;3.0;;380000;3;476;Austrian Power Grid AG;8779,483
LineString (16.41030220000000028 47.54844479999999862, 16.4106115999999993 47.55140979999999473, 16.41087830000000025 47.5543186000000091, 16.41114629999999863 47.55740829999999875, 16.41144939999999863 47.56052609999999703, 16.41176349999999928 47.56354919999999709, 16.41207700000000003 47.56680459999999755, 16.41236809999999835 47.56988310000000553, 16.41266040000000004 47.57271439999998819, 16.41296120000000158 47.57581549999999027, 16.41324360000000127 47.5786801000000068, 16.4134878999999998 47.58133120000000105, 16.41376740000000112 47.58411789999999542, 16.41403430000000085 47.58628559999998942, 16.41431710000000166 47.58978989999999953, 16.41196529999999854 47.59219429999998852, 16.40970670000000098 47.59449229999999886, 16.40740269999999867 47.59683230000000265, 16.40505750000000162 47.59922999999999149, 16.40259349999999827 47.60173169999999487, 16.39999119999999877 47.60438649999998262, 16.39786610000000167 47.60656459999999157, 16.39598060000000146 47.60847339999999406, 16.39389540000000167 47.61058130000000688, 16.39294939999999912 47.61336370000000784, 16.39211050000000114 47.61589249999997975, 16.39115930000000176 47.61863039999998648, 16.39012500000000117 47.62168830000000952, 16.38927229999999824 47.62420189999999565, 16.39042600000000505 47.627160300000007, 16.39159289999999913 47.63013620000000969, 16.3928609999999999 47.63338190000000338, 16.39390969999999825 47.63604219999999856, 16.39503069999999951 47.63893309999999559, 16.39622599999999863 47.6419643999999991, 16.39684670000000111 47.64440079999999966, 16.40000729999999862 47.6471872999999988, 16.40036389999999855 47.64891859999999468, 16.4008676000000051 47.65144369999999441, 16.40139800000000037 47.65405169999998947, 16.40184259999999838 47.65623749999999603, 16.40229580000000098 47.65842930000000166, 16.40093219999999974 47.66058549999999627, 16.39955919999999878 47.66274330000000958, 16.39735310000000013 47.66618460000000113, 16.39627099999999871 47.66781809999999808, 16.39454560000000072 47.67061449999999923, 16.39322340000000011 47.67254319999999268, 16.39167219999999858 47.67510480000000683, 16.38995829999999998 47.6777961000000019, 16.39139159999999862 47.68071890000000224, 16.39294329999999889 47.68380989999999997, 16.39432240000000007 47.68662369999999839, 16.39579559999999958 47.68956730000000022, 16.39724160000000097 47.69241759999999886, 16.39543499999999909 47.69503519999999241, 16.39390320000000045 47.69722479999998654, 16.39347679999999841 47.70037870000000169, 16.39310569999999956 47.70327420000000984, 16.39273379999999847 47.70616989999999902, 16.3923495999999993 47.7092554999999976, 16.39200130000000044 47.71191809999999833, 16.39174759999999864 47.71384250000000549, 16.39149169999999955 47.71605340000000695, 16.38808360000000164 47.71817169999999209, 16.38482480000000052 47.72025159999998323, 16.38125219999999871 47.72247680000000258, 16.37945470000000014 47.72422659999999439, 16.37741229999999959 47.72621490000000932, 16.37633590000000083 47.72927380000000142, 16.37539299999999898 47.73196170000000649, 16.37471880000000013 47.73387670000000327, 16.37393000000000143 47.73607570000000067, 16.37294729999999987 47.73895910000000242, 16.37277759999999915 47.74161130000000242, 16.37261060000000157 47.74453479999998251, 16.37246209999999991 47.74717549999999022, 16.37525660000000016 47.74912700000000143, 16.37810650000000123 47.75111739999999116, 16.38130530000000107 47.7533515999999949, 16.38414939999999831 47.75533399999999062, 16.38744769999999917 47.75763419999999115, 16.38630889999999951 47.76038679999999204, 16.38493839999999935 47.76366049999999319, 16.38364340000000041 47.76673490000000299, 16.38236669999999862 47.76983609999999913, 16.38123750000000101 47.77258199999999988, 16.37997779999999892 47.77549880000000115, 16.37880270000000138 47.77832819999999714, 16.37795699999999854 47.78033849999999916, 16.37703919999999869 47.78249209999999891, 16.37585830000000087 47.78537729999999328, 16.37474389999999858 47.78787379999999274, 16.37753449999999944 47.79041720000000026, 16.38011930000000049 47.79274740000000321, 16.38284560000000312 47.79520789999997987, 16.38505689999999859 47.79716140000000735, 16.38787699999999958 47.79969279999998832, 16.38818979999999925 47.8028090999999975, 16.38851800000000125 47.80584530000000854, 16.38881549999999976 47.8088730000000055, 16.38911990000000074 47.81173259999999914, 16.3893829999999987 47.81476239999999933, 16.38971220000000173 47.81751319999999339, 16.39001280000000094 47.82061749999999023, 16.390267699999999 47.82356339999999051, 16.39061009999999996 47.82644760000000872, 16.39093499999999892 47.82971439999999319, 16.39232499999999959 47.83227380000000295, 16.39372639999999848 47.83472290000000271, 16.39526240000000001 47.83747129999999714, 16.39671039999999991 47.84006219999999843, 16.39831099999999964 47.84292559999999384, 16.39985340000000136 47.84561699999999718, 16.40108040000000145 47.84781999999998447, 16.40264610000000189 47.85067930000000302, 16.40423900000000046 47.85347010000000267, 16.4058212999999995 47.856299700000001, 16.407418100000001 47.85913359999999983, 16.40901480000000134 47.86198360000000207, 16.41073469999999901 47.86505859999999046, 16.41218609999999956 47.86771490000000284, 16.41349519999999984 47.86999380000000315, 16.41475790000000146 47.87229569999999512, 16.41605870000000067 47.87455909999999903, 16.417375100000001 47.87692559999999986, 16.41885780000000139 47.8795218999999932, 16.41848350000000067 47.88158680000000089, 16.41803319999999999 47.88418769999999824, 16.41750180000000015 47.88717450000000042, 16.41701490000000163 47.88998130000000231, 16.41648610000000019 47.89291830000000516, 16.41603639999999942 47.89540709999999279, 16.41554980000000086 47.89809889999999371, 16.41502759999999839 47.90103369999999927, 16.41451809999999867 47.90397139999999609, 16.41398699999999877 47.90691069999999741, 16.4135339000000009 47.90951659999999634, 16.41302549999999982 47.91241339999999838, 16.41257630000000134 47.91502200000000045, 16.40946539999999843 47.91713449999999597, 16.40630910000000142 47.91927570000000713, 16.40323760000000064 47.92135139999999893, 16.40045070000000038 47.92324820000000329, 16.39748859999999908 47.92526119999999423, 16.39452599999999904 47.9272463000000073, 16.39151899999999884 47.92927900000000108, 16.38871419999999901 47.93119620000000225, 16.38593870000000052 47.93307889999999816, 16.38357380000000063 47.93466939999998999, 16.38284700000000171 47.93705819999999562, 16.38205830000000063 47.93965049999999906, 16.38133589999999984 47.94202489999999983, 16.38065130000000025 47.94427469999999403, 16.37979969999999952 47.94707330000000667, 16.37898050000000083 47.94976559999999921, 16.37821650000000062 47.95227599999999057, 16.377272099999999 47.9553790999999876, 16.37634669999999915 47.95841949999999088, 16.37613310000000055 47.9608965999999981, 16.37584930000000227 47.96418849999999168, 16.37560129999999958 47.96706359999999592, 16.37535259999999937 47.96994730000000118, 16.3751080999999985 47.97278279999999029, 16.37491290000000177 47.97504549999999313, 16.37467339999999894 47.97782180000000096, 16.37443460000000073 47.98059039999998276, 16.37417719999999832 47.98357440000000196);94372544;2.0;Erika;380000;3;477;Austrian Power Grid AG;52135,7
LineString (16.27786240000000006 47.25133630000000551, 16.2792829999999995 47.25124799999999681);82824769;1.0;;380000;0;478;Austrian Power Grid AG;107,95
LineString (16.69686000000000092 48.03141149999999726, 16.69904070000000118 48.03203419999999113, 16.70293450000000135 48.03315229999998337, 16.70672310000000138 48.03423549999998698, 16.71067010000000153 48.03534849999999778, 16.71359980000000078 48.03618799999999567, 16.71766590000000008 48.0372368000000094, 16.72128790000000009 48.03830999999999563, 16.72491859999999875 48.03934300000000235, 16.72923589999999905 48.04056529999999015, 16.73326129999999878 48.04171879999999106, 16.73719240000000141 48.04287219999999081, 16.74070269999999994 48.0439109000000002, 16.74503999999999948 48.04514850000000337, 16.74869079999999855 48.0461985000000098, 16.75276480000000134 48.04734999999999445, 16.75653459999999839 48.04843290000000167, 16.76089130000000083 48.04782229999999998, 16.76529899999999884 48.04718929999999233, 16.76956449999999776 48.04658919999998545, 16.77366170000000167 48.04601289999999381, 16.77777700000000038 48.04543389999999903, 16.78161220000000142 48.04489439999999689, 16.78530990000000145 48.04437859999999461, 16.78965760000000174 48.04376260000000087, 16.79368789999999834 48.04319780000000151, 16.79790459999999896 48.04260239999999982, 16.80160030000000049 48.04208250000000646, 16.80559009999999986 48.04081949999999779, 16.80952359999999857 48.0395444999999981, 16.81333030000000051 48.03833429999999538, 16.81704200000000071 48.03715590000000191, 16.82143519999999981 48.0357355999999811, 16.82589959999999962 48.03432010000000929, 16.83019619999999961 48.03294379999999109, 16.83150489999999877 48.02985510000000602, 16.8324631999999994 48.02759540000000271, 16.83363059999999933 48.02479050000000171, 16.8347256999999999 48.02221060000000108, 16.83596449999999933 48.01933999999999259, 16.83712849999999861 48.01657210000000475, 16.83815540000000155 48.01414659999998236, 16.83937450000000169 48.01125730000000402, 16.84062069999999878 48.00830909999999818, 16.84167739999999824 48.00581999999998573, 16.84282659999999865 48.00328539999998867, 16.8440025999999996 48.00049009999999328, 16.84520649999999975 47.99764119999999679, 16.84645049999999955 47.99468369999999595, 16.84774940000000143 47.99157910000000271, 16.84882149999999967 47.98906029999999845, 16.84981549999999828 47.98671419999999443, 16.85095019999999977 47.98401439999999951, 16.85198529999999906 47.98156799999999578, 16.85308960000000056 47.97895299999999708, 16.85401609999999906 47.97676749999999402, 16.85804479999999828 47.97594009999999543, 16.86211120000000108 47.97510489999998384, 16.86644450000000006 47.97421489999999977, 16.87058370000000096 47.97335750000000587, 16.8749652999999995 47.97246479999999025, 16.87898300000000162 47.97163959999999605, 16.88321159999999921 47.97077110000000744, 16.88739220000000074 47.96991240000000545, 16.89138799999999918 47.96909159999999162, 16.89573400000000092 47.96820029999999235, 16.89993480000000048 47.96733600000000308, 16.90391070000000084 47.96651929999998742, 16.90857169999999954 47.96556180000000325, 16.91230330000000137 47.96480030000000028, 16.9167468999999997 47.96388239999998859, 16.92085009999999912 47.96303949999999361, 16.92483139999999864 47.96222969999999464, 16.92889680000000041 47.96139329999999035, 16.9331031000000003 47.96052230000000804, 16.93723560000000106 47.95967329999999151, 16.94130850000000166 47.95798910000000603, 16.94504459999999924 47.95652890000000212, 16.94855189999999823 47.95516330000000238, 16.95230109999999968 47.95370820000000123, 16.95603029999999833 47.95225290000000484, 16.96014180000000238 47.95064470000000512, 16.96420660000000069 47.94908099999998541, 16.96740339999999847 47.94783840000000197, 16.97127529999999851 47.94631470000000206, 16.97498969999999829 47.94488309999999842, 16.97872840000000139 47.94342179999999587, 16.98244089999999673 47.94197799999997756, 16.98630500000000154 47.94046939999999779, 16.99002360000000067 47.93902200000000136, 16.99345299999999881 47.93768250000000108);82451106;2.0;;380000;2;439A;Austrian Power Grid AG;28478,89
LineString (16.99567970000000017 47.9369889000000029, 16.99729800000000068 47.93619169999998775);320717951;1.0;;380000;2;444;Austrian Power Grid AG;149,91
