wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (14.68122390000000088 46.66935639999998386, 14.68100130000000014 46.66896699999998788, 14.68094229999999989 46.66886389999999096, 14.68075939999999946 46.66854390000000308, 14.6806890999999986 46.66842099999999505);597914301;1.0;;380000;0;;;111,7
LineString (14.68046859999999931 46.66848120000000932, 14.68053779999999975 46.66860400000000908, 14.68071880000000107 46.66892529999998374, 14.68077650000000034 46.66902790000000323, 14.68099940000000103 46.66942350000000062);597914300;1.0;;380000;0;;;112,31
LineString (14.67947380000000024 46.66875269999999176, 14.67958880000000121 46.66872130000000141, 14.67980030000000014 46.66866359999999503, 14.68003680000000166 46.66859909999998735, 14.68024879999999932 46.66854119999999995, 14.68046859999999931 46.66848120000000932, 14.6806890999999986 46.66842099999999505, 14.68078539999999954 46.66839470000000034);597914299;1.0;;380000;0;;;107,93
LineString (14.68002880000000054 46.66949869999999834, 14.67989709999999981 46.66926600000000036, 14.67984120000000026 46.66916719999999685, 14.67965769999999992 46.66884300000000252, 14.67958880000000121 46.66872130000000141);597914293;1.0;;380000;0;;;92,71
LineString (14.68069240000000164 46.66931629999999842, 14.68056079999999852 46.66908630000000358, 14.68050369999999916 46.66898669999999782, 14.68031880000000022 46.66866350000000807, 14.68024879999999932 46.66854119999999995);597914292;1.0;;380000;0;;;92,57
LineString (14.68034570000000016 46.66914459999999565, 14.6801060000000021 46.6687212999999943, 14.68003680000000166 46.66859909999998735);597914291;1.0;;380000;0;;;65,06
LineString (14.68012230000000251 46.66920499999999095, 14.67987229999999954 46.66878470000000334, 14.67980030000000014 46.66866359999999503);597914290;1.0;;380000;0;;;65,01
LineString (14.67954620000000077 46.66887330000000134, 14.67965769999999992 46.66884300000000252, 14.67987229999999954 46.66878470000000334, 14.6801060000000021 46.6687212999999943, 14.68031880000000022 46.66866350000000807, 14.68053779999999975 46.66860400000000908, 14.68075939999999946 46.66854390000000308, 14.68085780000000007 46.66851710000000253);597914297;1.0;;380000;0;;;107,86
LineString (14.67978760000000094 46.66929569999999927, 14.67989709999999981 46.66926600000000036, 14.68012230000000251 46.66920499999999095, 14.68034570000000016 46.66914459999999565, 14.68056079999999852 46.66908630000000358, 14.68077650000000034 46.66902790000000323, 14.68100130000000014 46.66896699999998788, 14.68110590000000215 46.66893859999998995);597914296;1.0;;380000;0;;;108,37
LineString (14.68099940000000103 46.66942350000000062, 14.68167230000000067 46.67013750000001693);597914295;1.0;Obersielach - Kainachtal;380000;2;471;Austrian Power Grid AG;94,57
LineString (14.68167230000000067 46.67013750000001693, 14.68122390000000088 46.66935639999998386);597914294;1.0;Obersielach - Kainachtal;380000;2;472;Austrian Power Grid AG;93,33
