wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length;;;;
LineString (12.26469580000000015 47.24532159999999692, 12.26247320000000052 47.24714339999999879, 12.26081220000000194 47.24850489999998615, 12.2580588999999982 47.2507616999999982, 12.25331780000000137 47.25103820000000354, 12.24989480000000164 47.25249660000000773, 12.24680539999999951 47.25381279999999862, 12.24338370000000253 47.25367930000000172, 12.23970349999999918 47.25353580000000164, 12.23551480000000069 47.2533724000000106, 12.23158279999999998 47.25321900000000852, 12.2268100000000004 47.25303280000000683, 12.22257439999999917 47.25286760000000186, 12.21848540000000227 47.25270809999998534, 12.21450519999999962 47.25255289999999775, 12.21038660000000142 47.25239219999998852, 12.20511070000000053 47.25218639999999937, 12.20180870000000084 47.25127129999999198, 12.19763520000000057 47.25001140000000532, 12.19484680000000054 47.24895720000000665, 12.19190599999999947 47.24781919999999502, 12.18732370000000031 47.2466910999999925, 12.18240869999999987 47.24551220000000029, 12.1784233000000004 47.24567549999999727, 12.17499790000000104 47.24581589999999665, 12.17108170000000023 47.24597640000000354, 12.16645719999999997 47.24616589999999405, 12.16221930000000029 47.2477682000000101, 12.15807230000000061 47.2484517999999909, 12.15536370000000055 47.24889830000000046, 12.15130300000000219 47.24956770000000006, 12.14740390000000225 47.25021039999999317, 12.14428960000000046 47.25072380000001004, 12.14099419999999974 47.25126699999999147, 12.13787609999999972 47.25178100000000114, 12.13339590000000179 47.25086570000000563, 12.12916479999999986 47.25003439999999699, 12.12636120000000162 47.24713219999999581, 12.12200810000000217 47.24713460000000254, 12.1200329 47.24608959999999769, 12.11889679999999814 47.24548859999999451, 12.11599999999999966 47.24546669999999438, 12.11287530000000068 47.24544879999999836, 12.1099325000000011 47.24621080000000006, 12.10640169999999927 47.2471251000000052, 12.10323150000000147 47.24794599999999178, 12.10115960000000257 47.24848589999999149, 12.09740649999999995 47.24783930000000254, 12.09416929999999901 47.24728149999999971, 12.09029780000000009 47.24661439999999857, 12.08657660000000078 47.24597330000000284, 12.08221029999999985 47.24522089999999963, 12.07855220000000074 47.24421320000000435, 12.07467630000000192 47.24314650000000171, 12.07090490000000038 47.24147760000001028, 12.06793060000000217 47.24017930000000121, 12.06445940000000228 47.23861449999999707, 12.06033070000000151 47.23787769999999853, 12.05593619999999966 47.23699189999999248, 12.0519462000000015 47.23578830000000295, 12.04817749999999954 47.23465139999999707, 12.04469030000000096 47.23359949999998264, 12.04061369999999975 47.2323695999999984, 12.03727730000000129 47.23136310000001004, 12.03395360000000025 47.23036040000000924, 12.03174620000000239 47.22911059999999139, 12.02863890000000069 47.22723400000000282, 12.02606400000000164 47.22545619999999644, 12.02216529999999928 47.22279140000000552, 12.0189187000000004 47.2204929999999905, 12.01706689999999789 47.21918200000001065, 12.0147087999999993 47.21751249999999089, 12.01090529999999923 47.21649380000000207, 12.00676670000000001 47.21538539999999529, 12.00110130000000019 47.21386810000000622, 11.99550690000000053 47.2117595999999935, 11.99083380000000076 47.20999820000000113, 11.98658180000000151 47.21062359999999103, 11.98326310000000028 47.21111169999998936, 11.9795064 47.21166289999999321, 11.9761614999999999 47.21215619999999547, 11.97005539999999968 47.21498599999999612, 11.96422689999999989 47.21627640000000525, 11.95812940000000069 47.21762629999999916, 11.95528189999999746 47.21928450000000055, 11.95230180000000075 47.22103020000000129, 11.9493191999999997 47.22278750000000258, 11.94714860000000201 47.22340609999999117, 11.94362719999999989 47.22446670000000779, 11.93979070000000142 47.22562219999998945, 11.93587890000000051 47.22649069999999227, 11.93304570000000098 47.22727359999999663, 11.92895470000000202 47.22840399999999761, 11.92616220000000027 47.22917559999999781, 11.92215760000000202 47.2302820999999966, 11.91945729999999948 47.23037759999998997, 11.91632399999999947 47.23048849999999987, 11.91180900000000165 47.22958469999998954, 11.90860540000000256 47.23063579999999462, 11.90490209999999927 47.23185070000000252, 11.90300950000000135 47.23395879999999636, 11.89932200000000151 47.23472909999999558, 11.8981975000000002 47.23430460000000863);106509511;2.0;Tauern - Zell am Ziller;380000;2;417;Austrian Power Grid AG;30689,06;;;;
LineString (12.45810239999999958 47.27509900000000442, 12.45415389999999789 47.27545179999999903, 12.44937329999999953 47.27485559999999509, 12.44581529999999958 47.27441180000000287, 12.44290190000000074 47.27532289999999193, 12.43936549999999919 47.2768999999999906, 12.43562889999999932 47.27857949999999931, 12.43092960000000069 47.27839609999999482, 12.42625200000000163 47.27821349999999256, 12.42165530000000118 47.27803399999999101, 12.41706390000000049 47.2784741999999909, 12.41308680000000031 47.27880329999999987, 12.40892710000000143 47.27914570000000083, 12.40481110000000164 47.27950520000000267, 12.40041100000000007 47.27988949999999591, 12.39742739999999976 47.27839509999999024, 12.39405170000000034 47.27673599999999965, 12.39170939999999987 47.27557740000000308, 12.38814439999999983 47.27381910000000431, 12.38552290000000156 47.27253859999999719, 12.38208580000000225 47.27186909999998932, 12.37885640000000009 47.27123650000000055, 12.3756793000000016 47.27063929999999203, 12.37340629999999919 47.26978959999999574, 12.36973659999999953 47.26850420000000241, 12.36665120000000151 47.26745989999999864, 12.36476910000000018 47.26559420000000244, 12.36030510000000149 47.26503290000000135, 12.35632610000000042 47.26453540000000686, 12.3536671000000009 47.26419400000000337, 12.3499251000000001 47.26474759999999975, 12.34518510000000013 47.26604460000000785, 12.34213010000000033 47.26465720000000204, 12.33859700000000004 47.26305269999999581, 12.33527289999999965 47.26157360000000551, 12.33117900000000056 47.25968360000000246, 12.32751210000000164 47.25801819999999509, 12.32418250000000093 47.25650580000000645, 12.32053070000000083 47.25484710000000632, 12.31637780000000149 47.25404249999998285, 12.31208209999999958 47.25321019999999805, 12.30865769999999948 47.25254659999998808, 12.30407289999999954 47.25165830000000255, 12.29964670000000027 47.25080069999999921, 12.29512670000000085 47.24992480000000938, 12.29084730000000114 47.24909559999998976, 12.28668410000000044 47.24828889999998438, 12.28226910000000061 47.24769309999999223, 12.27785480000000007 47.24709739999999414, 12.27379840000000044 47.24655000000000626, 12.26918630000000121 47.24592759999999458, 12.26469580000000015 47.24532159999999692);98429384;4;"Tauern - Zell am Ziller;Wald - Mittersill";380000;;417;Austrian Power Grid AG;31693,66;;;;
LineString (12.73923240000000057 47.27790539999999453, 12.73905000000000243 47.27785409999999899, 12.7388773999999998 47.2778010999999907, 12.73828130000000058 47.27762679999999307, 12.73806180000000055 47.27756239999999366, 12.73717140000000114 47.27723709999999357);89581299;1.0;;380000;2;452;Austrian Power Grid AG;172.89;;;;
LineString (12.73885929999999966 47.27851929999999925, 12.73867019999999961 47.27846629999999806, 12.73849610000000077 47.27841740000000215, 12.73790370000000038 47.27825119999998549, 12.73773830000000018 47.27820479999999748, 12.73717140000000114 47.27723709999999357);38867885;1.0;;380000;2;417B;Austrian Power Grid AG;207,55;;;;
LineString (12.73983300000000085 47.27659220000000317, 12.73978890000000064 47.27666329999999562, 12.73969519999999989 47.27681429999999807, 12.73960680000000067 47.2769566999999995, 12.73950980000000044 47.27711310000000822, 12.73941549999999978 47.27726499999999987, 12.73932409999999926 47.27741240000000289, 12.73923450000000024 47.27755679999999927, 12.73916310000000074 47.27767180000000025, 12.73905000000000243 47.27785409999999899, 12.73895420000000023 47.27800860000001393, 12.73886160000000167 47.27815779999998824, 12.73876590000000242 47.27831199999999967, 12.73867019999999961 47.27846629999999806);335545737;1.0;;380000;0;;Austrian Power Grid AG;226,16;;;;
LineString (12.73849610000000077 47.27841740000000215, 12.73859270000000166 47.278261399999991, 12.73868889999999965 47.27810580000000584, 12.73878559999999993 47.27794939999999713, 12.7388773999999998 47.2778010999999907, 12.73898570000000063 47.27762589999998966, 12.73906009999999966 47.2775055999999978, 12.73914749999999962 47.27736440000000329, 12.73924060000000047 47.27721389999999246, 12.7393351999999993 47.27706100000000333, 12.73943150000000024 47.27690519999999452, 12.73952030000000057 47.27676180000000272, 12.73961240000000039 47.27661279999999522, 12.73965330000000051 47.27654670000000436);335545740;1.0;;380000;0;;Austrian Power Grid AG;225,65;;;;
LineString (12.73859270000000166 47.278261399999991, 12.73876590000000242 47.27831199999999967, 12.73895390000000027 47.27836380000000105, 12.73954870000000028 47.2785302999999999, 12.73963720000000066 47.27837920000000338, 12.73904590000000248 47.27821219999999158, 12.73886160000000167 47.27815779999998824, 12.73868889999999965 47.27810580000000584, 12.73808919999999922 47.27794449999999671);335545739;1.0;;380000;0;;Austrian Power Grid AG;223,06;;;;
LineString (12.73863399999999935 47.27704349999998357, 12.73924060000000047 47.27721389999999246, 12.73941549999999978 47.27726499999999987, 12.73959230000000176 47.27731299999999948);335545743;1.0;;380000;0;;Austrian Power Grid AG;78,45;;;;
LineString (12.73790370000000038 47.27825119999998549, 12.73808919999999922 47.27794449999999671, 12.73818900000000021 47.27777950000000828, 12.73828130000000058 47.27762679999999307, 12.73837950000000063 47.27746440000000661, 12.73846160000000083 47.27732859999999704, 12.73854670000000056 47.27718789999999416, 12.73863399999999935 47.27704349999998357);335545742;1.0;;380000;0;;Austrian Power Grid AG;145,19;;;;
LineString (12.73885929999999966 47.27851929999999925, 12.73895390000000027 47.27836380000000105, 12.73904590000000248 47.27821219999999158, 12.73913989999999963 47.2780575999999968, 12.73923240000000057 47.27790539999999453, 12.73933870000000113 47.27773039999999583, 12.73941209999999913 47.27760950000001117, 12.73950229999999983 47.27746109999999646, 12.73959230000000176 47.27731299999999948, 12.73968379999999989 47.2771624000000017, 12.73977819999999994 47.27700699999999756, 12.73986449999999948 47.27686499999998659, 12.73995780000000089 47.27671149999999045, 12.73999929999999914 47.2766431999999881);335545741;1.0;;380000;0;;Austrian Power Grid AG;225,7;;;;
