wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (16.42015320000000145 48.12310169999999943, 16.42003850000000043 48.12265370000000075);194940850;1.0;;380000;2;;Austrian Power Grid AG;50,53
LineString (16.41940170000000165 48.12237339999999364, 16.41943020000000075 48.12310570000001775);194940849;1.0;;380000;2;;Austrian Power Grid AG;81,43
LineString (16.41940170000000165 48.12237339999999364, 16.41967209999999966 48.12310440000000966);194940848;1.0;;380000;2;;Austrian Power Grid AG;83,72
LineString (16.41992640000000137 48.1231029999999933, 16.42003850000000043 48.12265370000000075);194940847;1.0;;380000;2;;Austrian Power Grid AG;50,64
LineString (16.41650010000000037 48.12417829999998986, 16.4158173000000005 48.12463550000000367);226202013;1.0;;380000;0;;;71,87
LineString (16.34075389999999928 48.13639810000000807, 16.34162339999999958 48.13602210000000525);122215109;1.0;;380000;2;;Wien Energie GmbH;77,02
LineString (16.41623810000000105 48.12418339999998551, 16.4158173000000005 48.12463550000000367);122215108;1.0;;380000;0;;;59,22
LineString (16.34061589999999953 48.13618839999998045, 16.34162339999999958 48.13602210000000525);122215107;1.0;;380000;2;;Wien Energie GmbH;77,21
LineString (16.41697299999999871 48.12262249999998431, 16.41746729999999843 48.12311119999998965);122666600;1.0;;380000;0;;Austrian Power Grid AG;65,61
LineString (16.37417719999999832 47.98357440000000196, 16.37402660000000054 47.98640770000000799, 16.37387980000000098 47.98925010000000668, 16.37370310000000018 47.99247849999999005, 16.3735356000000003 47.99553350000000052, 16.37336009999999931 47.99904569999999637, 16.37547059999999988 48.00165339999999503, 16.37786570000000097 48.00448019999999616, 16.37976240000000061 48.00693239999998951, 16.38197470000000067 48.00965890000001224, 16.38419770000000142 48.01240729999999957, 16.38499440000000007 48.01447600000000193, 16.38595079999999982 48.01692129999999992, 16.38699950000000172 48.01962040000000798, 16.38816140000000132 48.02263889999999691, 16.38926289999999852 48.02551890000000157, 16.39029010000000142 48.02822059999999738, 16.39142089999999996 48.03106350000000901, 16.39253109999999936 48.03404709999998801, 16.39369230000000144 48.03695630000000705, 16.39475470000000001 48.03967099999999135, 16.39590159999999841 48.04255280000000283, 16.3970860000000016 48.04539899999999619, 16.39811600000000524 48.04819339999999528, 16.39914599999999822 48.05088439999999395, 16.40029609999999849 48.0538047000000077, 16.4013604000000015 48.05654700000000901, 16.40233890000000017 48.059019499999998, 16.40342890000000153 48.06194510000000264, 16.40457909999999941 48.06493939999999299, 16.40582360000000151 48.06803669999998618, 16.40690509999999946 48.07089869999998655, 16.40802090000000035 48.07380069999999961, 16.40911090000000172 48.07660500000000781, 16.41001209999999944 48.07878989999999675, 16.41093910000000022 48.08128430000000009, 16.41211320000000029 48.08448669999999225, 16.41046820000000039 48.08713419999999417, 16.40856510000000057 48.09020249999999663, 16.40683160000000029 48.0930614000000034, 16.40864380000000011 48.09590670000000046, 16.41030549999999977 48.09846139999998371, 16.4118384000000006 48.10082520000000272, 16.41362800000000277 48.10358639999999752, 16.41561439999999905 48.10665209999999092, 16.41551270000000073 48.10984439999999296, 16.41541690000000031 48.11331779999999725, 16.41533520000000124 48.1164896000000013, 16.41519489999999948 48.1202091999999837, 16.41697299999999871 48.12262249999998431);122658968;4;"Wien Südost - Südburgenland;Ternitz - Wien Südost";380000;3;477;Austrian Power Grid AG;32348,92
