WKT;full_id;osm_id;osm_type;landuse;name;plant_meth;plant_outp;plant_sour;power;type;addr_city;addr_count;addr_house;addr_postc;addr_stree;addr_subur;operator;wikidata;wikipedia;alt_name;old_name;generator_;generato_1;start_date;height;website;building;name_de;name_sl;generato_2;layer;addr_place;at_bev_add;plant_ou_1;addr_hou_1;int_name;is_in;ref;ele;generato_3;man_made;waterway;natural;water;commission;heritage;heritage_o;name_etymo;name_ety_1;ref_at_bda;wikimedia_;building_m;roof_mater;at_bev_a_1;access;building_c;roof_colou;roof_heigh;roof_orien;roof_shape;source_ref;frequency;voltage;barrier;location;name_abbre;substation;plant_ou_2;building_l;descriptio;UID;contact_em;contact_fa;contact_ph;plant_ou_3;abbreviati;generato_4;generato_5;plant_ou_4;plant_ou_5;name_en;official_n;addr_hamle;contact_we;operator_w;image;short_name;fence_type;generato_6;generato_7;plant_ou_6;owner;covered;loc_name;alt_name_1;constructi;construc_1;industrial;reservoir_
POINT (13.4412061023043 48.4350192849376);r1999097;1999097;relation;industrial;Wasserkraftwerk Schärding-Neuhaus;run-of-the-river;96 MW;hydro;plant;multipolygon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.8619666614703 48.1124091855886);r4712484;4712484;relation;industrial;Elektrizitätswerk Amstetten;;3490 kW;;plant;multipolygon;Amstetten;AT;20;3300;Stadtwerkestraße;Allersdorf;Stadtwerke Amstetten;Q1326605;de:Elektrizitätswerk Amstetten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.2035465922001 47.6088984791809);r6615602;6615602;relation;;Energieforschungspark Lichtenegg;;;;plant;multipolygon;;;;;;;;;;Energieerlebnispark Lichtenegg;Windkraftanlage Lichtenegg/Pesendorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.4309610607546 48.2789277628293);r7949085;7949085;relation;;BürgerInnen-Solarkraftwerk Leopoldau;;432 kW;;plant;multipolygon;;;;;;;Wien Energie;;;;;photovoltaic;solar;13.12.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (10.7214072855725 47.2121157961794);r8073569;8073569;relation;industrial;Kraftwerk Imst;run-of-the-river;89 MW;hydro;plant;multipolygon;;;;;;;TIWAG;Q63615207;de:Kraftwerk Imst;;;;;1956;143,5;https://www.tiwag.at/ueber-die-tiwag/kraftwerke/bestehende-kraftwerke/kraftwerkspark/#c654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.9372024173553 46.6434006594169);r8387518;8387518;relation;industrial;Lavamünd;;28 MW;hydro;plant;multipolygon;;;;;;;Verbund Hydro Power GmbH;Q19933916;sl:Hidroelektrarna Labot;;;;;1949;;;industrial;Kraftwerk Lavamünd;Hidroelektrarna Labot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.0692397128273 48.1898662684181);r10245279;10245279;relation;industrial;Kraftwerk Ybbs-Persenbeug;run-of-the-river;236.5 MW;hydro;plant;multipolygon;;;;;;;;Q1786238;de:Kraftwerk Ybbs-Persenbeug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (12.8904604946649 46.6847839656085);r10631284;10631284;relation;industrial;;;;solar;plant;multipolygon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.533792307848 48.2396332870062);r12741957;12741957;relation;;Schafflerhofstraße Agrar-PV;photovoltaic;11 MW;solar;plant;multipolygon;Wien;;271;1220;Schafflerhofstraße;;Wien Energie;;;Photovoltaikanlage PV-SAF-1/T1-T5;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.3242731397067 48.2999949825341);w15734776;15734776;way;industrial;Fernheizkraftwerk Linz-Mitte;;;;plant;;;;;;;;LINZ AG;;;FHKW Linz-Mitte;;;"biofuel;gas;oil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.339812212495 48.3327223402348);w20821224;20821224;way;industrial;Wärmekraftwerk Korneuburg;combustion;455 MW;gas;plant;;;;;;;;EVN AG & VERBUND AG;Q1000868;de:Kraftwerk Korneuburg;;;;;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.0997918399678 48.1722723461529);w24764730;24764730;way;industrial;Kraftwerk Marchtrenk;run-of-the-river;42.8 MW;hydro;plant;;;;;;;;Energie AG Oberösterreich;;;;;;;;;;industrial;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (12.16935325 47.21144555);w25442808;25442808;way;;;;;hydro;plant;;Krimml;AT;99;5743;;;;;;;;;;;;;yes;;;;;Oberkrimml;01.10.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.46249055647 48.1991695733321);w27757801;27757801;way;industrial;Kraftwerk Donaustadt;combustion;383 MW;gas;plant;;Wien;;22;1220;Primavesigasse;;Wien Energie;Q1158820;de:Kraftwerk Donaustadt;;;;;;;;;;;;;;;250 MW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.4743232947284 48.1313876211772);w28537970;28537970;way;;Kraftwerk Mühlrading;run-of-the-river;25 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (13.0080180641705 48.2445976857247);w28599518;28599518;way;;Innkraftwerk Braunau-Simbach;run-of-the-river;100 MW;hydro;plant;;Braunau am Inn;AT;58;5282;Kraftwerkstraße;;Österreichisch-Bayerische Kraftwerke AG;Q17124137;;;;;;;;;yes;;;kaplan_turbine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.6090691576551 48.4187304007019);w28682182;28682182;way;industrial;;combustion;;biomass;plant;;;;;;;;;;;;;;;2006-09;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.3393445156193 48.2843672005055);w29564681;29564681;way;industrial;voestalpine Kraftwerk;combustion;267 MW;gas;plant;;;;;;;;voestalpine Stahl GmbH;;;Kraftwerk Hütte Linz;;;gas;;;;industrial;;;;;;;;SG32;Power Plant voestalpine Linz;Linz,Oberösterreich,Österreich, Europe;SG32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (9.87478238658018 47.0844542611853);w30240653;30240653;way;industrial;Rodundwerk II;water-pumped-storage;295 MW;hydro;plant;;;AT;;6773;;;Vorarlberger Illwerke AG;Q14546796;de:Rodundwerk II;;;;;;;https://www.illwerke.at/inhalt/at/198.htm;yes;;;;;;;;;;;;645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (13.2101710765342 47.3748245803732);w30512216;30512216;way;;Kraftwerk Urreiting;run-of-the-river;17 MW;hydro;plant;;Sankt Johann im Pongau;AT;48;5600;Maschl;;Salzburg AG;;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (13.7962615655646 47.9333591991117);w31007053;31007053;way;industrial;Kraftwerk Gmunden;run-of-the-river;12.2 MW;hydro;plant;;;;;;;;Energie AG;;;;;;;1968;;;industrial;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (9.66980157728864 47.1988946924009);w31428153;31428153;way;;Walgaukraftwerk;water-storage;94 MW;hydro;plant;;Nenzing;AT;1;6710;Eichholz;;Vorarlberger Illwerke AG;Q2542250;de:Walgauwerk;;;;;;;;yes;;;francis_turbine;;;;;;;;;492;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (13.5896912565765 48.0128114103558);w33840137;33840137;way;industrial;Kraftwerk Timelkam;combustion;405 MW;gas;plant;;;;;;;;Energie AG OÖ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.4599656714092 48.1745117168652);w34202023;34202023;way;industrial;Entsorgungsbetriebe Simmering;;;waste;plant;;;;;;;;;Q1345460;de:Entsorgungsbetriebe Simmering;;;;;;;;;;;;;;;;;;;;;;incinerator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.4610456641354 48.176570643931);w34202024;34202024;way;industrial;Müllverbrennungsanlage Pfaffenau / Biogas Wien;;;waste;plant;;Wien;AT;7;1110;Johann-Petrak-Gasse;;;Q1521834;de:Müllverbrennungsanlage Pfaffenau;MVA Pfaffenau;;;;;;https://www.wien.gv.at/umwelt/ma48/entsorgung/abfallbehandlungsanlagen/mva-pfaffenau.html;;;;;;;;;;;;;;;incinerator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.6386835147468 47.848485298342);w35016697;35016697;way;;Kraftwerk Weyer;run-of-the-river;36.8 MW;hydro;plant;;;;;;;;Ennskraftwerke AG;Q1343462;de:Ennskraftwerke AG;;;;;1969;;https://www.verbund.com/pp/de/gewaesser/enns;yes;;;;;;;;;;;;;;;dam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.0008613196699 48.4886272175959);w37117099;37117099;way;;Stausee Langhalsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;water;reservoir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.3324606406841 48.5924184143026);w39596992;39596992;way;industrial;Pumpspeicherkraftwerk Ottenstein;water-storage;48 MW;hydro;plant;;;;;;;;EVN;Q1417413;de:Stausee Ottenstein;;;;;06.07.1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.1595055416453 47.0184369259326);w41970883;41970883;way;industrial;Kraftwerk Arnstein;water-storage;30 MW;hydro;plant;;;;;;;;Verbund Hydro Power GmbH;Q17265581;de:Speicherkraftwerk Arnstein;;;;;;;https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/arnstein;;;;;;;;;;;;;;;;;;;1925;2;bda;Arnstein;Q15106751;119455;Category:Speicherkraftwerk Arnstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.2234549610987 48.2062074386216);w61015936;61015936;way;industrial;Kraftwerk Traun-Pucking;run-of-the-river;45.8 MW;hydro;plant;;;;;;;;Energie AG Oberösterreich;;;;;;;1983;;;industrial;;;kaplan_turbine;1;;;;;;;;;;;;;;;;;;;;;concrete;concrete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.6825848798071 48.254317089198);w70621821;70621821;way;;;;;;plant;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.1053528972168 47.725539534106);w83202476;83202476;way;industrial;ehem. Heizkraftwerk Peisching;;;;plant;;;;;;;;;;;ehem. Kraftwerk Peisching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (12.1988241130486 47.6413507617853);w83231884;83231884;way;;Wasserkraftwerk Oberaudorf-Ebbs;run-of-the-river;59 MW;hydro;plant;;;;;;;;Österreichisch-Bayerische Kraftwerke AG;Q21517380;de:Kraftwerk Oberaudorf-Ebbs;;;;;;;;yes;;;;1;;;;;;;;;;;weir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
