WKT;full_id;osm_id;osm_type;frequency;local_wiki;name;operator;plant_meth;plant_outp;plant_sour;power;voltage;wikidata;disused_pl;plant_ou_1;website;wikipedia;bicycle;bridge;foot;highway;horse;layer;maxweight;motor_vehi;surface;barrier;name_en;start_date;generator_;addr_city;addr_count;addr_house;addr_place;addr_postc;addr_stree;addr_subur;at_bev_add;contact_fa;contact_ph;contact_we;generato_1;generato_2;generato_3;generato_4;plant_ou_2;generato_5;capacity;diameter;flow_direc;location;man_made;pressure;substance;usage;waterway;descriptio;generato_6;plant_ou_3;email;phone;constructi;canal;direction;tunnel;OBJECTID;BL_KZ;BL;ST_KZ;ST;FL;FL_KM;STAND;Shape__Are;Shape__Len
POINT (13.4381125277212 48.55360697141);w27661875;27661875;way;50;http://regiowiki.pnp.de/index.php/Kraftwerk_Ingling;Kraftwerk Passau-Ingling;Grenzkraftwerke GmbH;run-of-the-river;86.4 MW;hydro;plant;110000;Q17124139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (11.7569568754949 47.3891855419214);w30880774;30880774;way;;;Achenseekraftwerk;TIWAG;water-storage;79 MW;hydro;plant;;Q30975248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (15.9185307062915 48.3238460685031);w31289685;31289685;way;;;Kraftwerk Dürnrohr;"VERBUND Austrian Thermal Power AG; EVN AG";combustion;352 MW;"gas;waste";plant;;Q477846;coal;10 MW;https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx;de:Kraftwerk Dürnrohr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.4684813686142 48.0986775335361);w33062622;33062622;way;;;Kraftwerk Staning;Ennskraftwerke AG;run-of-the-river;43 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.0022311116297 48.487486966658);w36886265;36886265;way;;;;;;;;;;;;;;;no;yes;yes;service;no;1;11;yes;asphalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (15.7132174572261 48.329501127858);w45272991;45272991;way;;;;;;;gas;plant;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (15.7095547335337 48.3947091055678);w47001764;47001764;way;;;Kraftwerk Theiß;EVN;combustion;800 MW;gas;plant;;Q1521544;;;;de:Kraftwerk Theiß;;;;;;;;;;;Theiss Power Plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (10.5322773732338 47.4983795091255);w80286405;80286405;way;;;Fernwärmekraftwerk;;;;biomass;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.5308516162548 48.2248604085597);w95828353;95828353;way;;;Kraftwerk St. Pantaleon-Erla;Ennskraftwerke AG;run-of-the-river;51 MW;hydro;plant;;Q30973613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.4419731 48.43374675);w95975622;95975622;way;;;;;;;;;;;;;;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.3524811775876 47.9409351237045);w96843738;96843738;way;;;Kraftwerk Ternberg;Ennskraftwerke AG;run-of-the-river;42 MW;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
