WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (16.8891621 47.9441206);n293944707;293944707;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.7694893 48.059734);n332236271;332236271;node;wind_turbine;Enercon E-40/600;0.6 MW;wind;generator;;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.7677342 48.0566424);n332238844;332238844;node;wind_turbine;Enercon E-40/600;0.6 MW;wind;generator;;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.7663753 48.0618406);n332240672;332240672;node;wind_turbine;Enercon E-66/1800;1.8 MW;wind;generator;;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (13.9485966 47.4338187);n337583240;337583240;node;;;;;;;;gate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8741524 47.966198);n420286993;420286993;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND1;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8781198 47.9667391);n420286994;420286994;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND2;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8755308 47.9630172);n420286995;420286995;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND3;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8794867 47.9638344);n420286996;420286996;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND4;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8871307 47.9617285);n420286998;420286998;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND8;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8837515 47.9590218);n420287000;420287000;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;ND7;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9000625 47.9422578);n420287030;420287030;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE23;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8954579 47.9437821);n420287032;420287032;node;;Enercon E-66/18.70;1.8 MW;wind;generator;WE12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.8926851 47.9413351);n420287036;420287036;node;wind_turbine;Enercon E-66/18.70;1.8 MW;wind;generator;WE14;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9925183 47.9672351);n420538291;420538291;node;wind_turbine;Windtec 1566;1.5 MW;wind;generator;;horizontal_axis;;Rudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.0031575 48.4876658);n428867503;428867503;node;;;;;;;;lift_gate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9821332 47.9682551);n480152032;480152032;node;;Enercon E-82;;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9865434 47.9660694);n480152034;480152034;node;;Enercon E-70/2000;2.0 MW;wind;generator;ZN3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9850261 47.9710004);n480152038;480152038;node;;Enercon E-82;;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9779248 47.9704149);n480152039;480152039;node;;Enercon E-70/2000;2.0 MW;wind;generator;ZN2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9839285 47.9741228);n480152040;480152040;node;;Enercon E-70/2000;2.0 MW;wind;generator;ZN1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (14.0318337 46.5226794);n560619124;560619124;node;;;;;plant;;;;Kraftwerk Bärental Matsching;616;hydro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.7138551 48.3297291);n574973872;574973872;node;;;;;;;;gate;;;;private;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6491089 48.2817164);n599966722;599966722;node;;Enercon E-66;1.8 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6495549 48.2834727);n599966723;599966723;node;;Enercon E-66;1.8 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4629409 48.1713219);n671191566;671191566;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2000;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4643101 48.16957);n671191568;671191568;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2000;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4586153 48.1750285);n671206641;671206641;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4535999 48.1751658);n671206643;671206643;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4485649 48.1753987);n671206644;671206644;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4438446 48.1782202);n671207826;671207826;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.440221 48.1783313);n671207827;671207827;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.4365669 48.1787706);n671207828;671207828;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (15.432246 48.1789895);n671207829;671207829;node;wind_turbine;Enercon E66/1800;1.8 MW;wind;generator;;wind_turbine;;;;;;2004;86;WIH Windpark GmbH&CoKG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6341691 48.3486428);n942627048;942627048;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.63319 48.3440555);n942627050;942627050;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6320689 48.3406281);n942627057;942627057;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6451614 48.3427383);n942627059;942627059;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6445026 48.3474627);n942627060;942627060;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6521874 48.3519894);n942627520;942627520;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6651812 48.3526395);n942627521;942627521;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.6547867 48.3460165);n942627523;942627523;node;;Vestas V 90;2.0 MW;wind;generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9292373 48.0669718);n960303994;960303994;node;wind_turbine;Enercon E-66/1800;1.8 MW;wind;generator;;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
