full_id;osm_id;osm_type;it:fvg:ctrn:revision;landuse;substation;location;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;at_bev:addr_date;name;power;operator;plant:output:hot_water;start_date;plant:output:electricity;plant:source;website;wikipedia;building;height;it:fvg:ctrn:code;addr:street;frequency;voltage;barrier;ref;source:addr;transformer;building:levels;addr:suburb;gas_insulated;layer;alt_name;description:de;building:part
237272140;way;;substation;Karnerau;20000;KNG-Kärnten Netz GmbH;;;;;;transformer_tower;Apr 45;;distribution;;;;;;;;;;50;indoor;;;;;;;;;;;;
86119456;way;;substation;Kraftwerk Feistritz-Ludmannsdorf;220000;;;;;;transmission;;;;;;;;;;substation;50;outdoor;;220000;fence;;Kraftwerk Feistritz-Ludmannsdorf;;;;;;;26;;;
83823298;way;;substation;KW Außerfragant (ib);110000;;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;;;;;;;;3;;;
83805040;way;;substation;KW Malta-Hauptstufe;"220000;110000";;;;;;transmission;;;;;;;;;;substation;50;outdoor;;"220000;110000";fence;;KW Malta-Hauptstufe;;;;;;;1;;;
211095612;way;;substation;Umspannwerk Auen;110000;;;;;;;;;;distribution;;;;;;;;;;;outdoor;fence;;;;;;;;58;;;
96970398;way;;substation;Umspannwerk Brückl;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;40;;;
137946515;way;;substation;Umspannwerk Ettendorf;110000;;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;;;;;;;;46;;;
85471947;way;;substation;Umspannwerk Feldkirchen;110000;KNG-Kärnten Netz GmbH;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;;;;;;;;19;;;
86321299;way;;substation;Umspannwerk Ferlach;110000;;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;31;;;
85389628;way;;substation;Umspannwerk Fürnitz;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;16;;;
85387757;way;;substation;Umspannwerk Gailitz;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;;;;;;;15;;;
642903514;way;;substation;Umspannwerk Gmünd;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;;;2019;;;;;;72;;;
180468540;way;;substation;Umspannwerk Greuth;220000;Eneco S.r.l.;;;;;;;;;transmission;;;;;;;;;;50;outdoor;;;08.01.2013;;;;;;57;;;
151942483;way;;substation;Umspannwerk Gurk;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;48;;;
85639941;way;;substation;Umspannwerk Hermagor;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;24;;;
86119509;way;;substation;Umspannwerk Klagenfurt;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;27;;;
173495825;way;Klagenfurt am Wörthersee;substation;Umspannwerk Klagenfurt Süd;110000;Energie Klagenfurt GmbH;AT;2;;9020;;service;;Triplatstraße;transmission;;;;;;;;;;50;indoor;;;;;;;;;;;;
129009559;way;;substation;Umspannwerk Kleinkirchheim;110000;KNG-Kärnten Netz GmbH;;;;;;;;;distribution;;;;;;;;;;50;outdoor;fence;;;;;;;;45;;;
84014731;way;;substation;Umspannwerk Landskron;110000;KNG-Kärnten Netz GmbH;;;;;;;;;transmission;;;;;;;;;;50;outdoor;fence;;;;;;;;11;;;
95848249;way;;substation;Umspannwerk Lassendorf;110000;KNG-Kärnten Netz GmbH;;;;;;;;;transmission;;;;;;;;;;50;outdoor;fence;;;;;;;;39;;;
