full_id;osm_id;osm_type;frequency;landuse;location;substation;name;operator;power;voltage;addr:city;addr:country;addr:housename;addr:housenumber;addr:postcode;addr:street;building;int_name;old_name;building:levels;barrier;height;ref;roof:shape;man_made;street_cabinet;building:material;roof:levels;roof:material;emergency;building:colour;at_bev:addr_date;source:location;addr:place;transformer;railway:position:exact;gas_insulated;building:part;material;phone;fence_type;name:old;rating;start_date;description;local_wiki;plant:output:electricity;plant:source;wikidata;plant:method;generator:type;wikipedia;plant:output:heat;official_name;addr:hamlet;plant:output:hot_water;alt_name
95975628;way;50;;outdoor;Umspannwerk Aigerding;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;
95978048;way;50;;outdoor;Umspannwerk Antiesenhofen;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;
95025698;way;50;;outdoor;Umspannwerk Bad Hall;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;
174531795;way;50;;outdoor;Umspannwerk Baumgartenberg;110000;Linz Strom GmbH;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;
92870633;way;50;industrial;outdoor;Umspannwerk Eferding;110000;;substation;distribution;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186110657;way;50;;outdoor;Umspannwerk Enns-Industrie;110000;;substation;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;
587747481;way;50;;outdoor;Umspannwerk Feldkirchen;110000;;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;
95289063;way;50;;outdoor;Umspannwerk Frankenmarkt;110000;;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;
135931468;way;50;;outdoor;Umspannwerk Franzosenhausweg;110000;Linz AG;substation;distribution;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;
35034309;way;50;;outdoor;Umspannwerk Freistadt;"110000;20000";Linz Strom AG;substation;distribution;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;13;;;chain_link;;;;;;;;;;;;;;;;
95843031;way;50;;outdoor;Umspannwerk Friensdorf;110000;Linz Strom AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;
86869607;way;50;;outdoor;Umspannwerk Gmunden;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;
95024146;way;50;;outdoor;Umspannwerk Grieskirchen;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;
42306133;way;50;;outdoor;Umspannwerk Großraming;110000;;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;Schaltanlage Großraming;;;;;;;;;;;;;;;
93077882;way;50;industrial;outdoor;Umspannwerk Hausruck;200000;Verbund Austrian Power Grid AG;substation;transmission;;;;;;;;;;;fixme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105348874;way;50;;outdoor;Umspannwerk Jahrsdorf;110000;Energie AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;
