full_id;osm_id;osm_type;barrier;location;substation;access;name;plant:source;power;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;operator;contact:fax;contact:phone;contact:website;frequency;generator:method;generator:output:electricity;generator:output:hot_water;generator:source;email;phone;website;plant:method;plant:output:electricity;wikidata;wikipedia;plant:output:hot_water;landuse;voltage;building;name:abbreviation;addr:street;addr:suburb;ref;description:de;substance;building:levels;height;building:material;roof:material;source:geometry;roof:shape;service;start_date;transformer;voltage:secondary;commissioning;gas_insulated;rating;designation;alt_name;at_bev:addr_date;roof:levels;street_cabinet;man_made
142357596;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
142357597;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
142357599;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
142371825;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
142371826;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
142371827;way;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;;;;Ehemaliges Oberwellenfilter der GK Dürnrohr;;;;;
96719309;way;;50;EVN Umspannwerk Heidenreichstein;110000;;substation;;distribution;;;;;;;;;;;;;;;;;;;;;;;outdoor;;;;;;;;;;;;;;;;;;60;;;;EVN;;;;;
309844862;way;;;KAH Haidlissen Gänserndorf Süd;;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;
128225177;way;fence;;Korneuburg;;;substation;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;;;;
511559378;way;;;OV Freiland;;NÖ Netz EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
