full_id;osm_id;osm_type;barrier;landuse;name;power;substation;voltage;building;operator;frequency;location;addr:country;addr:housenumber;addr:postcode;addr:street;name:abbreviation;addr:city;building:levels;height;ref;man_made;roof:orientation;roof:shape;inscription;historic;shop;access;railway:ref;addr:place;at_bev:addr_date;transformer;description;emergency;building:colour;street_cabinet;addr:village;source:location;addr:suburb;layer;railway:position:exact;substance;material;reg;object:postcode;object:street;object:suburb;url;phone;est_name;website;start_date;covered;plant:source;alt_name;plant:method;plant:output:electricity;waterway;wikidata;wikipedia;plant:output:heat;plant:output:cold_water;plant:output:hot_water;generator:type;fence_type;plant:output;contact:website
105065132;way;;;APG Umspannwerk Salzburg;substation;transmission;220000;;Austrian Power Grid AG;;;;;;Kirchholz_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;
33041399;way;fence;;Salzach;substation;distribution;220000;;Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
38868243;way;;;Tauern;substation;transmission;"380000;220000";;Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;
93483694;way;;;Umspannwerk Bruck;substation;transmission;110000;;Salzburg AG;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;
93206012;way;;;Umspannwerk Golling;substation;distribution;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;
98007002;way;fence;;Umspannwerk Göming;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;
33003245;way;fence;;Umspannwerk Hagenau;substation;distribution;110000;;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;
106525523;way;;;Umspannwerk Hinterglemm;substation;distribution;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;
38821658;way;;;Umspannwerk Kaprun;substation;transmission;"380000;220000;110000";;Verbund Hydro Power, Austrian Power Grid AG;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;
86499892;way;;;Umspannwerk Lungau;substation;distribution;"110000;30000";;Salzburg AG;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;
108120142;way;;;Umspannwerk Maishofen;substation;distribution;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;
98249243;way;;;Umspannwerk Mittersill;substation;distribution;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;
33004953;way;;industrial;Umspannwerk Oberalm;substation;distribution;110000;;;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102151229;way;fence;;Umspannwerk Reitdorf;substation;distribution;110000;;Salzburg AG;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;
318616912;way;;;Umspannwerk Schwarzenbach;substation;;380000;;"Austrian Power Grid AG;Österreichische Bundesbahnen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;
33003040;way;fence;;Umspannwerk Seekirchen;substation;distribution;110000;;;50;outdoor;AT;12;5201;Wallerseestraße;;Seekirchen am Wallersee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
33004923;way;;;Umspannwerk Taxach;substation;distribution;110000;;Salzburg AG;50;outdoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;
71118465;way;;;UW Altenmarkt im Pongau (i.B.);substation;;;;Trafo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;
88844733;way;;;UW Angertal;substation;distribution;110000;industrial;Salzburg AG;;;AT;38a;5630;Angerweg;;Bad Hofgastein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88844735;way;;;UW Angertal;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;plant;Salzburg AG;;;;;;;;;;;;
583308089;way;;;UW Bad Hofgastein 1 (i.B.);substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;
313796052;way;;;UW Berg (i.B.);substation;distribution;;transformer_tower;Salzburg Netz;;;;;;;;;;;Elixhausen Perling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433146721;way;;;UW Bramberg am Wildkogel 1 (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242728003;way;;;UW Bramberg am Wildkogel 2 (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;Bramberg Leiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327664486;way;;;UW Bramberg-Steinach 1 (i.B.);substation;distribution;;yes;Salzburg AG;;;;;;;;;;;Bramberg Eder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419334890;way;;;UW Bramberg-Steinach 2 (i.B.);substation;;;yes;Salzburg AG;;;;;;;;;;;Bramberg Taxerhof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228358324;way;;;UW Bruck an der Großglocknerstraße Nord (i.B.);substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;
