full_id;osm_id;osm_type;building;frequency;location;name;operator;power;substation;type;voltage;wikidata;wikipedia;addr:city;addr:country;addr:housenumber;addr:postcode;addr:street;start_date;street_cabinet;at_bev:addr_date;designation;image;abandoned:power;building:levels;Wien;barrier;alt_name;ref;man_made;fence_type;official_name;landuse;plant:method;plant:output:electricity;plant:output:hot_water;plant:source;website;generator:method;generator:output:electricity;generator:output:hot_water;generator:source
119489306;way;;;;Kabelüberführungsstation 400kV-1GW-Nordeinspeisung;Wien Energie;substation;transition;;400000;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
134565164;way;;;;Kabelüberführungsstation Pfarrgasse;;substation;transition;;380000;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;
138407044;way;yes;;;Schaltanlage Simmering;;substation;transmission;;"380000;110000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228731882;way;yes;;;Umspannwerk Aspern;;substation;;;;;;Wien;AT;4;1220;Böckingstraße;;;2017-10-01;;;;;;;;;;;;;;;;;;;;;;
28766884;way;;50;outdoor;Umspannwerk Kaiserebersdorf;Wien Energie;substation;distribution;;110000;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;
205801468;way;;50;indoor;Umspannwerk Liesing;Wien Energie;substation;distribution;;110000;;;;;;;;;;;;;;;;24;fence;;;;;;;;;;;;;;;
26644088;way;;;;Umspannwerk Wien Nord;;substation;transmission;;"380000;110000";;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;
27795895;way;;;;Umspannwerk Wien Südost;Austrian Power Grid AG;substation;transmission;;"380000;220000;110000";Q998879;de:Umspannwerk Wien-Südost;;;;;;;;;;;;;;5;fence;;;;;;;;;;;;;;;
26209260;way;;50;outdoor;Umspannwerk Wien West;Wien Energie GmbH;substation;transmission;;110000;;;;;;;;1952;;;;;;;;2;fence;Umspannwerk West;;;;;;;;;;;;;;
568843352;way;yes;;;UW Alterlaa (ib);;substation;;;;;;Wien;AT;2;1230;Kugelmannplatz;;;2017-10-01;;;;;;;;;;;;;;;;;;;;;;
324886793;way;yes;;;UW Anton Freunschlag Gasse (ib);Wien Energie;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356131179;way;yes;;;UW Aspern Ost (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586076068;way;yes;;;UW Aspern Ost 2 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188718362;way;;;;UW Atzgersdorf (ib);WienStrom;substation;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;
274214408;way;;;;UW Atzgersdorf 2 (ib);;substation;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;
226201987;way;industrial;;;UW Baudißgasse (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211506886;way;yes;;;UW Bierhäuslberg (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153603271;way;;;;UW Bierhäuslberg 2 (ib);;substation;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;
186336626;way;yes;;;UW Brunner Straße (ib);WienStrom;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128617555;way;yes;;;UW Ehrenpreisgasse (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326123283;way;yes;;;UW Essling (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352662478;way;yes;;;UW Essling 2 (ib);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
